"cjxiaoqu","constructionTime","bankuai","communityAverage","elevator","subway","school","hospital","supermarket"
"广安门外南街",2008,"北京南站",74841,1,1,1,0,1
"城市涧",1983,"北京南站",93293,1,1,1,0,1
"开阳里七区",2009,"北京南站",51088,1,0,1,0,1
"开阳里四区",2004,"北京南站",51863,1,0,1,0,1
"百合园",1980,"北京南站",89752,1,1,0,1,1
"开阳里二区",2011,"北京南站",56336,1,1,0,1,0
"开阳里一街",2002,"北京南站",58524,1,0,0,0,1
"开阳里一区",2008,"北京南站",40113,1,0,0,1,1
"万博苑",2004,"北京南站",37362,1,0,0,1,0
"丰开苑",2004,"北京南站",46667,1,0,0,0,1
"四园",1994,"北京南站",38263,1,0,0,1,1
"嘉园一里",1996,"北京南站",104198,1,1,1,0,0
"南珠苑",2000,"北京南站",93400,1,1,1,1,1
"晨欣园",1988,"北京南站",67681,1,1,0,1,1
"恋日花都",2005,"北京南站",60134,1,0,1,0,1
"开阳里六区",1995,"北京南站",60626,1,1,0,1,0
"鸿业兴园",1996,"北京南站",69186,1,1,0,1,1
"嘉园二里",1987,"北京南站",69318,1,1,1,0,0
"草桥欣园四区",1995,"北京南站",65244,1,0,1,0,1
"世纪金色嘉园",2003,"北京南站",76826,1,1,0,1,0
"东亚三环",1995,"北京南站",47958,1,1,1,1,0
"首邑溪谷",2009,"北京南站",44553,1,0,1,1,1
"八仙别墅仙霞西里",2009,"北七家",28039,1,0,0,1,1
"金科帕提欧",1990,"北七家",96977,1,1,0,1,1
"王府花园",1960,"北七家",83081,0,1,0,1,0
"北京太阳城老年公寓",1975,"北七家",97769,0,1,0,0,0
"桃花苑",1976,"北七家",66177,1,1,1,0,1
"望都新地二期",1980,"北七家",77336,1,1,1,1,1
"八仙别墅仙霞东里",1984,"北七家",85041,1,1,0,1,1
"海德堡花园",1986,"北七家",62297,1,1,0,0,1
"高庄",2008,"北七家",37419,1,0,0,0,1
"金色漫香苑",2000,"北七家",71559,1,0,0,0,0
"蓬莱公寓东区",2000,"北七家",99423,1,1,0,1,0
"胜古馨园",2000,"北七家",34863,1,0,0,0,0
"桃园公寓",2001,"北七家",56462,1,1,0,0,1
"美树假日嘉园",1983,"北七家",84139,1,1,0,1,1
"王府温馨公寓",2000,"北七家",74963,1,1,1,1,1
"富力童话时光",1989,"北七家",123885,1,1,0,0,0
"胜古中路院",2010,"北七家",60618,1,1,0,0,1
"北亚花园",2008,"北七家",78232,1,1,1,0,0
"冠雅苑",2013,"北七家",28218,1,0,1,0,0
"城市出品",1983,"北七家",57548,1,1,1,1,0
"温泉花园A区",2005,"北七家",43190,1,1,1,1,0
"风雅园一区",1994,"北七家",38062,1,0,1,0,1
"慧谷金色家园",2004,"北七家",48897,1,1,1,0,1
"名佳花园四区",2008,"北七家",75090,1,1,1,0,0
"望京花园东区",2009,"北七家",79930,1,1,0,0,0
"名佳花园一区",1994,"北七家",71712,1,1,0,1,0
"望都家园",1983,"北七家",71475,1,1,0,1,1
"温泉花园B区",1996,"北七家",74710,1,1,1,0,0
"望都新地",1990,"北七家",37478,1,0,1,0,0
"南湖中园二区",1998,"北七家",56242,1,1,1,0,0
"龙跃苑一区",1989,"北七家",48277,1,0,0,0,0
"名流花园",2004,"北七家",41048,1,1,1,0,0
"名佳花园三区",2003,"北七家",52306,1,0,0,0,1
"芍药居北里",2009,"北七家",54282,1,1,1,1,0
"天通苑中苑",1996,"北七家",70655,1,0,1,0,1
"冠城南园",1986,"北太平庄",54231,1,1,0,0,0
"马甸西路",1988,"北太平庄",118435,1,1,1,0,1
"北太庄路院",2002,"北太平庄",75536,1,1,0,1,0
"电信宿舍",2001,"北太平庄",69767,1,1,0,1,0
"冠城北园",1996,"北太平庄",72160,1,1,0,0,0
"花园北路乙院",1992,"北太平庄",82987,1,1,1,0,1
"华盛家园",1983,"北太平庄",81208,1,0,0,0,0
"二里庄小区",2003,"北太平庄",51827,1,0,0,1,1
"金澳国际",2014,"北太平庄",44200,1,0,0,1,1
"山水欧雷山二期",2000,"北苑",53074,1,1,1,0,1
"大羊坊甲院",1985,"北苑",110175,1,1,0,0,1
"环科院",1981,"北苑",67222,1,1,0,0,1
"润泽公馆",2014,"北苑",43442,1,0,0,0,0
"时代庄园",2005,"北苑",53949,1,0,1,0,1
"天恒花园",1989,"北苑",70154,1,1,1,0,1
"n次方",1982,"北苑",81391,1,1,0,1,0
"鸿华高尔夫庄园",2003,"北苑",68452,1,1,1,0,0
"天溪园",2004,"北苑",70921,1,1,1,0,0
"天月园",1984,"北苑",71428,1,1,1,1,0
"天之骄子",1964,"北苑",71470,0,1,1,0,0
"东环路小区",1989,"北苑",104777,1,1,0,1,1
"民安小区东直门北中街",1990,"北苑",93461,1,1,1,1,1
"天朗园",2005,"北苑",57991,1,1,0,1,1
"万达大湖公馆",2007,"北苑",61773,1,0,0,0,0
"乐想汇",2005,"北苑",72391,1,1,0,0,0
"安嘉苑",1986,"北苑",53772,1,1,0,0,1
"朝来绿色家园广华居",2005,"北苑",59972,0,0,0,0,1
"刘家窑东里",2003,"北苑",48759,0,0,1,1,0
"蒲安西里",1986,"北苑",54222,1,1,0,0,1
"上地南路院",2001,"北苑",60129,1,0,0,1,0
"天乐园",2001,"北苑",66296,1,0,1,1,0
"北苑五院四区",2002,"北苑",92036,1,1,1,0,1
"城锦苑",1999,"北苑",99267,1,1,1,0,0
"天翠园",1986,"北苑",112788,1,0,1,1,0
"北苑院",2005,"北苑",52046,1,0,0,0,1
"黄金苑",1989,"北苑",78593,1,1,0,1,1
"领地OFFICE",1984,"北苑",125589,1,1,1,1,0
"清水园一期",2002,"北苑",49300,0,0,0,0,1
"MASTER领域",2008,"北苑",72148,1,0,0,0,0
"山水蓝维",1999,"北苑",75058,1,0,0,1,0
"世华泊郡",2006,"北苑",64661,1,1,1,0,1
"崇文门西大街",1992,"北苑",96357,1,1,1,1,0
"华彩国际公寓",1992,"北苑",54000,1,1,0,1,1
"润枫欣尚",2008,"北苑",36545,0,0,0,0,1
"润泽悦溪",2004,"北苑",42336,1,0,0,0,0
"大西洋新城D区",2003,"北苑",60578,1,1,0,0,1
"南湖中园一区",1999,"北苑",50026,1,1,1,1,0
"椿树园",1998,"北苑",64025,1,1,0,1,0
"嘉铭桐城C区",2000,"北苑",38983,1,0,1,1,1
"顶秀青溪",1992,"北苑",97274,1,1,0,1,0
"佳运园三期",2007,"北苑",60067,1,1,1,1,0
"马南里",1990,"北苑",85514,1,1,1,0,0
"北方明珠",1996,"北苑",35653,1,1,0,1,0
"北苑家园绣菊园南区",2012,"北苑",39756,1,1,0,1,0
"立城苑",1981,"北苑",87885,1,0,0,1,1
"北苑家园紫绶园",2003,"北苑",119449,1,1,0,0,1
"汇园公寓",2004,"北苑",54191,1,0,0,1,0
"华发颐园",1987,"北苑",75858,1,1,0,0,0
"天通苑本五区",1988,"北苑",91577,1,1,0,1,1
"北苑家园清友园",2000,"北苑",47402,1,0,1,1,1
"天通苑本四区",2009,"北苑",89617,1,1,0,1,1
"太家园",2000,"北苑",41721,1,1,0,0,0
"佳运园二期",2008,"北苑",39994,1,0,0,1,0
"天通苑本六区",2007,"北苑",48420,1,0,1,0,0
"北苑家园莲葩园",2001,"北苑",48789,1,0,1,0,1
"美立方",2004,"北苑",44385,1,1,1,1,0
"定福家园院",2005,"北苑",42812,1,0,1,0,1
"东亚奥北中心北区",2000,"北苑",45871,1,1,0,0,1
"东辰小区",2003,"北苑",46865,1,1,0,0,1
"天通苑本三区",1997,"北苑",60019,1,1,0,0,1
"佳运园一期",2012,"北苑",64140,1,0,0,1,1
"天怡家园",2006,"北苑",59213,1,1,0,1,1
"北苑家园绣菊园",2012,"北苑",56080,1,0,1,1,1
"华贸城",1998,"北苑",106865,1,1,1,0,1
"天居园",1983,"北苑",51471,1,0,1,0,0
"天通苑东二区",2003,"北苑",46634,0,0,0,1,1
"天鑫家园",2004,"北苑",45307,1,1,0,1,0
"奥北南区",1992,"北苑",35730,1,0,0,1,1
"天通西苑一区",2008,"北苑",28609,1,1,0,0,0
"天通苑北三区",2004,"北苑",89350,1,1,1,1,0
"北京北",2008,"北苑",30000,1,0,0,0,1
"望京新城",2009,"北苑",45099,1,0,0,0,0
"北苑家园望春园",2011,"北苑",44711,1,1,1,0,1
"天畅园",2009,"北苑",49691,1,0,0,0,0
"天通苑北一区",2007,"北苑",62702,1,1,0,1,1
"天通苑北二区",2008,"北苑",65499,1,1,0,0,1
"北苑家园茉藜园",1987,"北苑",39605,1,0,1,1,0
"天通西苑三区",2003,"北苑",33820,1,1,0,1,0
"明天第一城院",2001,"北苑",40934,1,0,0,1,0
"三家店邮局楼",2002,"滨河西区",48785,1,1,1,1,1
"石门营新区七区南苑",2005,"滨河西区",61579,1,0,1,0,0
"城子二斜井",1984,"滨河西区",107077,1,1,0,1,0
"石门营新区六区",1983,"滨河西区",53191,1,1,1,1,1
"石门营新区四区",1997,"滨河西区",53730,1,1,0,0,1
"大峪小白楼",1990,"滨河西区",103813,1,1,1,1,1
"和路院",2009,"滨河西区",64808,1,1,0,0,1
"梧桐苑栖凤园",1998,"滨河西区",78990,1,0,0,0,1
"城子大街院",1997,"滨河西区",93614,1,1,1,1,0
"双峪路小区",2006,"滨河西区",49667,1,1,1,0,1
"梧桐苑清露园",2002,"滨河西区",66778,1,0,0,1,0
"大峪南路",2002,"滨河西区",88592,1,1,1,0,1
"含晖苑",1992,"滨河西区",91926,1,1,0,0,0
"黑山东街",1992,"滨河西区",95162,0,1,0,1,1
"冯村信园小区",2012,"滨河西区",26169,1,0,1,1,1
"霁月园",1984,"滨河西区",83051,0,1,1,1,1
"惠泽家园",1980,"滨河西区",96040,1,1,0,1,1
"石泉砖厂B区",1992,"滨河西区",62858,1,1,0,1,1
"临镜苑",1998,"滨河西区",80206,1,1,1,0,0
"桃园小区",1986,"滨河西区",44242,1,0,0,0,1
"阁外山水",2000,"滨河西区",66919,1,0,1,1,1
"德露苑",2001,"滨河西区",60452,1,0,0,1,1
"皓月园",2005,"滨河西区",68904,1,0,1,1,0
"承泽苑",2005,"滨河西区",92721,1,1,0,0,0
"恩济里小区",1985,"滨河西区",133064,1,1,0,1,0
"绿岛家园",1978,"滨河西区",84672,0,0,0,0,0
"门头沟月季园",1996,"滨河西区",85681,1,1,0,0,0
"黑山A区",2011,"滨河西区",42231,1,0,1,1,1
"惠民家园",2006,"滨河西区",55275,1,1,0,1,1
"都市晴园",1982,"菜户营",132240,1,1,1,0,1
"三路居路院",2000,"菜户营",47203,1,1,1,1,0
"广安门外车站东街",2001,"菜户营",55459,1,1,0,1,0
"天缘公寓",2002,"菜户营",71180,1,1,0,1,0
"菜户营甲院",1987,"菜户营",89975,1,1,1,1,1
"康宁居",2003,"菜户营",77143,1,1,1,1,0
"红居南街",2002,"菜户营",44118,1,1,1,1,1
"车站东街院",2006,"菜户营",61178,1,1,1,1,1
"金丰园",1999,"菜户营",129857,1,0,0,1,0
"南纬路院",1996,"菜户营",53241,1,1,0,0,0
"锦上国际公寓",1985,"菜户营",64178,1,1,1,0,1
"万年花城一期",2008,"菜户营",35734,1,0,1,1,0
"金都苑",2006,"菜户营",89261,1,1,1,0,0
"首科花园",2006,"菜户营",86671,1,1,0,0,1
"陶然北岸",1987,"菜户营",70305,1,1,1,0,1
"恬心家园",1994,"菜户营",69605,1,1,0,0,0
"格调",1990,"菜户营",144524,1,1,1,0,1
"乐城",2006,"菜户营",63517,1,0,1,0,0
"万润风景",2008,"菜户营",105084,1,1,1,0,1
"丽水莲花",2008,"菜户营",71598,1,1,1,0,0
"顺驰蓝调",2013,"菜户营",59179,1,1,1,0,1
"畅柳园",1999,"菜户营",57710,1,1,0,0,1
"保利百合",2004,"菜户营",48528,1,0,1,0,0
"枫竹苑北路",1989,"草桥",71061,1,1,0,0,0
"草桥东路楼",2015,"草桥",100806,1,1,1,1,1
"城南大道",2008,"草桥",99461,1,1,1,1,1
"美丽愿景",1980,"草桥",123501,1,1,0,0,0
"未来上层",1998,"草桥",50602,1,0,1,1,1
"春季星空",1992,"草桥",62167,1,1,0,1,1
"嘉丽园",1996,"草桥",115648,1,1,1,1,0
"未来",1984,"草桥",75031,1,1,0,1,0
"建欣苑一里",1990,"草桥",60007,1,0,0,1,0
"京品小区",2002,"草桥",64573,1,1,1,1,0
"未来明珠",1994,"草桥",38375,1,1,1,0,0
"嘉园三里",2004,"草桥",41688,1,0,1,0,0
"恋日嘉园二期",2003,"草桥",41507,1,0,0,1,1
"海户屯",1991,"草桥",69496,1,1,0,0,0
"首座绿洲",1992,"草桥",66141,1,0,0,0,0
"瑞丽江畔",1985,"草桥",82764,1,1,0,1,0
"青秀城",2012,"草桥",42137,1,0,1,1,0
"丽水园",2006,"草桥",44755,1,1,0,1,0
"恋日嘉园一期",1987,"草桥",44805,1,0,1,1,1
"海户西里",1984,"草桥",88283,1,0,0,0,0
"风景club",2000,"草桥",46927,1,0,1,0,1
"名都家苑",2000,"草桥",41390,1,0,1,1,1
"三星庄园",1982,"草桥",65355,1,0,1,1,0
"明日嘉园",2005,"草桥",58879,1,1,1,1,1
"瑞海家园一区",2001,"草桥",72467,1,1,0,0,0
"华润小区",1995,"草桥",92576,1,1,1,1,0
"草桥欣园院",2002,"草桥",35181,1,0,0,0,0
"冬季星空",1998,"草桥",51991,1,1,0,1,1
"明月嘉园",2007,"草桥",61727,1,1,1,0,0
"晨光小区",1998,"草桥",38712,1,0,1,1,1
"上海建筑",1985,"草桥",86119,1,0,1,1,0
"普惠南里",2010,"草桥",56608,1,1,1,0,1
"富卓苑",2008,"草桥",72269,1,0,1,0,0
"角门东里",2009,"草桥",57709,1,0,0,0,1
"草桥欣园三区",2006,"草桥",31844,1,0,1,0,0
"三环新城院",2008,"草桥",38384,1,1,1,1,0
"郝庄家园东区",2004,"昌平其它",55113,1,1,1,1,0
"昌盛园二区",2002,"昌平其它",97851,1,1,0,1,1
"金隅万科城悦嘉公寓",1987,"昌平其它",72429,1,1,0,0,0
"水屯家园",1998,"昌平其它",53142,1,1,1,0,1
"东关南里小区",1995,"昌平其它",92638,1,1,1,1,1
"慧忠北里第三社区",2002,"昌平其它",50903,1,0,1,0,0
"慧忠北里第四社区",2005,"昌平其它",51449,1,0,1,1,0
"北环里小区",1998,"昌平其它",58229,1,1,1,0,1
"安福苑",1998,"昌平其它",80516,1,1,0,0,1
"慧忠北里第一社区",2014,"昌平其它",58960,1,1,1,0,0
"慧忠北里第二社区",2007,"昌平其它",79816,1,1,0,1,1
"南环里",2010,"昌平其它",45214,1,1,1,0,0
"大屯里小区",1970,"昌平其它",105325,1,1,0,1,0
"安园",1993,"昌平其它",71466,1,1,1,0,1
"安慧北里秀园",2002,"昌平其它",107168,1,1,0,1,0
"金隅万科城",2010,"昌平其它",47647,1,0,1,1,1
"富力阳光美园",1984,"常营",73734,1,1,1,0,0
"公园大道",2006,"常营",42868,1,0,1,1,0
"金隅丽景园",2008,"常营",78726,1,1,1,1,1
"保利嘉园一院",1987,"常营",72579,1,1,0,0,0
"万象新天罗兰大道",1995,"常营",47571,1,0,1,0,0
"金晖嘉园",2008,"常营",27632,1,1,1,1,1
"文林大厦",2009,"常营",42697,1,0,1,0,1
"绿荫芳邻",2010,"常营",40128,1,1,1,1,0
"劲松二区",1998,"常营",49765,1,1,0,0,0
"万象新天二区",2007,"常营",37221,1,0,0,0,0
"朝阳新城五区",2002,"常营",51327,1,0,1,1,1
"万方家园",1998,"常营",49428,1,0,1,0,0
"卡夫卡公社",1995,"常营",47480,1,1,0,1,1
"日月东华",1987,"常营",63401,1,0,0,1,1
"东区国际",2003,"常营",64574,0,0,0,1,0
"时代之光名苑",2012,"常营",61958,1,0,0,0,0
"万象新天一区",2004,"常营",75868,1,0,0,0,1
"荟康苑",1997,"常营",38757,1,0,0,1,0
"万象新天天际高尔夫",2000,"常营",65567,1,0,1,1,0
"富华家园",2004,"常营",56527,1,1,1,1,1
"首开常青藤三期",2006,"常营",103114,1,1,1,1,0
"万象新天四区",1989,"常营",76783,1,1,1,1,1
"首开常青藤一期",1981,"常营",50837,0,1,0,1,0
"金福家园",1986,"常营",57814,1,1,0,0,0
"柏林爱乐一期",2009,"常营",40311,1,0,0,0,0
"晨光家园",2009,"常营",37961,1,0,0,1,0
"合生世界村",2013,"常营",58692,1,0,1,0,1
"柏林爱乐三期",2011,"常营",87365,1,0,1,0,0
"柏林爱乐四期",2002,"常营",70486,1,0,1,0,0
"苹果派",1992,"常营",41149,1,1,0,1,1
"华龙美树",2014,"常营",43947,1,0,0,1,1
"美然动力A区",1989,"常营",55722,1,1,1,0,1
"双惠小区",2010,"常营",44892,1,1,0,1,0
"柏林爱乐二期",2007,"常营",62598,1,0,0,1,0
"京通苑",2010,"常营",35310,1,1,0,0,0
"管庄西里",2013,"常营",68041,1,0,1,0,1
"东一时区",2004,"常营",56631,1,1,1,0,1
"北京新天地",2013,"常营",45536,1,0,1,0,1
"北京像素南区",2007,"常营",50205,1,1,0,1,0
"北京像素北区",2006,"常营",92360,1,1,0,0,1
"青云南区",1998,"厂洼",106697,1,1,0,0,1
"绿波漫板",1980,"厂洼",81387,1,1,0,1,1
"华澳中心",2003,"厂洼",37588,1,0,1,0,0
"美丽西园",2012,"厂洼",54794,1,0,1,0,1
"文慧园公寓",1992,"厂洼",72168,1,1,0,1,1
"蜂鸟家园",2006,"厂洼",43641,1,1,0,0,1
"天安豪园",2003,"朝青",77554,1,0,0,1,1
"八里庄新区",2008,"朝青",91582,1,0,0,0,0
"东皇城根南街",1998,"朝青",121121,1,1,1,0,0
"国际港",2003,"朝青",52407,1,0,1,0,1
"青年路小区",1994,"朝青",28579,1,0,1,0,0
"泰达时代",2014,"朝青",64450,1,0,1,1,1
"白领家园",2003,"朝青",86517,1,1,0,0,0
"环卫家园",1992,"朝青",72926,1,1,1,1,1
"汇成家园",2007,"朝青",74258,1,1,0,1,1
"乐栋",1986,"朝青",97747,0,1,0,0,0
"丽都水岸",1992,"朝青",98890,0,1,0,1,0
"十里堡南区",2005,"朝青",59957,1,0,0,0,1
"大悦城公寓",2003,"朝青",98871,1,1,0,0,1
"东泽园",1954,"朝青",110027,0,1,1,1,0
"泛海国际碧海园",1987,"朝青",113541,1,0,0,0,1
"京棉新城三厂",2005,"朝青",74639,1,1,0,0,1
"珊瑚湾",1989,"朝青",134788,1,1,1,1,0
"碧水星阁",2002,"朝青",81503,1,1,0,1,1
"花市枣苑一期",2000,"朝青",46278,1,0,1,1,1
"华业玫瑰东方",2007,"朝青",47552,1,1,1,0,1
"特区",2002,"朝青",41148,1,0,0,1,1
"京棉新城二厂",2003,"朝青",38925,1,0,0,0,1
"双兴小区",1966,"朝青",64312,0,0,0,0,0
"梧桐人家",2005,"朝青",79774,1,1,0,0,1
"朝阳雅筑",2006,"朝青",98975,1,1,1,0,0
"嘉铭桐城F区",1982,"朝青",59488,1,0,1,0,1
"青年工社",1985,"朝青",89013,1,1,1,1,1
"海华堂",1999,"朝青",75483,1,1,0,0,1
"万科金阳",1987,"朝青",119762,0,0,0,1,0
"冰窖口胡同院",1995,"朝青",83759,1,1,1,1,0
"朝阳嘉园",2009,"朝青",55358,1,0,1,0,0
"观湖国际",1998,"朝青",67932,1,1,1,0,0
"润枫嘉尚",2003,"朝青",64765,1,1,1,0,0
"十里堡东里",2013,"朝青",64868,1,0,1,0,0
"天天朝阳",1980,"朝青",68332,1,1,0,0,1
"爱这城三期",2001,"朝青",79739,1,1,0,0,0
"华业玫瑰郡",2005,"朝青",45728,1,0,0,1,1
"凯德锦绣",1996,"朝青",59414,1,1,1,1,0
"甘露晴苑",1994,"朝青",70719,1,1,1,0,0
"阿曼寓所",2001,"朝青",53588,1,1,0,1,1
"爱这城二期",2003,"朝青",54842,0,0,1,1,0
"九龙花园",2002,"朝青",39787,1,1,0,0,1
"八里庄南里",1992,"朝青",80041,1,0,0,1,1
"奥林匹克花园四期",2005,"朝青",59419,1,0,1,0,1
"东岸",1996,"朝青",68202,1,1,1,0,0
"甘露家园",1998,"朝青",74493,1,1,0,0,1
"金隅凤麟洲",2010,"朝青",39509,1,1,1,1,1
"都市经典家园",1990,"朝青",52501,1,1,0,0,0
"酷特区",2003,"朝青",64652,1,1,0,1,1
"都会华庭",2013,"朝青",54715,1,1,1,0,1
"红山世家",2004,"朝青",53740,1,1,1,0,0
"丽景馨居",2007,"朝青",67339,1,0,1,1,0
"南太庄北巷",1995,"朝青",75942,1,1,0,1,1
"天鹅湾南区",1998,"朝青",72945,1,1,1,1,0
"公园",1999,"朝青",71853,1,0,1,0,0
"朝阳无限",2009,"朝青",47875,1,1,0,1,1
"绿岛苑西区",1986,"朝青",61237,1,1,1,0,0
"石佛营东里小区",1991,"朝青",74408,1,1,1,1,1
"东恒时代三期",1993,"朝青",39694,0,0,0,1,0
"东恒时代一期",2010,"朝青",43366,0,0,0,1,0
"双桥六井",2003,"朝青",41560,1,0,1,1,1
"华纺易城",2001,"朝青",81204,1,1,1,0,1
"京棉新城",2006,"朝青",81582,1,1,0,0,0
"龙跃苑东四区",2004,"朝青",49957,1,0,1,0,1
"公园五",2008,"朝青",24224,1,1,0,0,1
"石佛营西里小区",2009,"朝青",70141,1,1,0,0,0
"水郡长安",2003,"朝青",60611,1,0,0,1,1
"美然绿色家园",2002,"朝青",84090,1,1,1,1,0
"康家园",2004,"朝青",81221,1,0,1,0,1
"润枫水尚",1995,"朝青",51436,1,1,0,0,0
"加州水郡三期",2000,"朝青",56819,1,1,1,0,0
"定福庄西街",1980,"朝青",58959,1,1,1,0,1
"八里庄北里小区",2009,"朝青",47574,1,0,0,0,0
"甘露园南里",2012,"朝青",89330,1,1,1,0,1
"万科青青家园",1993,"朝青",56893,1,1,0,0,0
"青年汇佳园",1990,"朝青",90890,1,1,1,0,1
"福怡苑",2005,"朝青",38281,1,0,1,1,1
"东方东路",1997,"朝阳公园",56881,1,1,0,0,0
"泛海国际澜海园",2000,"朝阳公园",65947,1,0,0,0,0
"泛海国际樱海园",1980,"朝阳公园",67588,1,1,0,0,1
"富丽华园",1990,"朝阳公园",74127,1,1,0,0,0
"光熙家园三期",1972,"朝阳公园",79525,0,1,1,0,0
"京达国际公寓",1978,"朝阳公园",98269,0,1,0,0,1
"US联邦公寓",2006,"朝阳公园",87334,1,1,1,1,0
"东润枫景二期",2013,"朝阳公园",124149,1,1,1,0,0
"九公寓",1985,"朝阳公园",83846,1,1,1,1,0
"酒仙桥八街坊",2011,"朝阳公园",84591,1,1,0,0,1
"六里屯西里",1990,"朝阳公园",100553,1,1,0,1,0
"甜水园街",2004,"朝阳公园",72832,1,0,0,1,0
"伯宁花园",1985,"朝阳公园",96269,1,1,1,0,0
"大山子南里",2002,"朝阳公园",102831,1,1,0,1,1
"景园大厦",1984,"朝阳公园",89043,1,1,1,0,1
"海悦名门",1981,"朝阳公园",50241,0,1,0,1,0
"酒仙桥一街坊",2006,"朝阳公园",76223,1,1,0,1,1
"朝阳公园西里北区",1998,"朝阳公园",82608,1,1,0,1,0
"嘉和丽园",2011,"朝阳公园",55180,1,0,1,1,0
"锦鸿阁",1981,"朝阳公园",64883,1,0,0,1,0
"裘马都",1977,"朝阳公园",58572,0,1,1,0,0
"圣世一品",1996,"朝阳公园",60631,1,0,0,0,1
"马道口",1979,"朝阳公园",75933,1,1,0,1,0
"南十里居院",1984,"朝阳公园",84440,1,1,0,1,0
"麦子店街",2004,"朝阳公园",42525,1,1,1,1,0
"三全公寓",2011,"朝阳公园",52221,1,1,0,0,0
"团结湖北四条",2004,"朝阳公园",65170,1,1,1,0,1
"六里屯东里",2004,"朝阳公园",56489,1,1,1,0,0
"万科东第",2010,"朝阳公园",109848,1,1,0,0,1
"朝丰家园",1995,"朝阳公园",90814,0,1,1,0,0
"东风家园",1984,"朝阳公园",98889,0,1,1,1,1
"富源里",2001,"朝阳公园",34332,1,0,0,0,0
"丽都东镇滨河",2002,"朝阳公园",77310,1,1,1,1,1
"甜水园北里",2005,"朝阳公园",48853,1,1,1,1,1
"恩济庄院",1986,"朝阳公园",63006,1,1,0,0,0
"六里屯北里",2000,"朝阳公园",55753,1,1,0,1,0
"水碓子东里",2005,"朝阳公园",66988,1,0,0,1,1
"碧水园",1998,"朝阳公园",93519,1,1,1,1,1
"水碓子东路",2002,"朝阳公园",101657,1,1,0,1,0
"华阳家园",2002,"朝阳公园",98415,1,0,1,0,1
"丽水嘉园",2001,"朝阳公园",52650,1,1,1,0,1
"三源里北小街",1998,"朝阳公园",61913,1,1,1,0,1
"芳古园二区",2010,"朝阳公园",37148,1,0,0,0,0
"飘HOME",1985,"朝阳公园",94351,1,1,0,1,1
"泰华滨河苑",2002,"朝阳公园",44170,1,0,0,1,1
"花家地西里三区",2000,"朝阳公园",42926,1,0,1,0,0
"矩阵一期",2007,"朝阳公园",86465,1,1,1,0,1
"甜水园东里",2004,"朝阳公园",61293,1,1,1,1,0
"南十里居",1990,"朝阳公园",71842,1,1,1,0,0
"道家园",2003,"朝阳公园",50347,1,1,0,1,1
"电子城小区",1987,"朝阳公园",44074,1,1,0,1,0
"瞰都国际",2004,"朝阳公园",43211,1,1,0,0,1
"晶都国际",2008,"朝阳公园",48906,1,0,1,0,0
"华龙苑南里",2005,"朝阳公园",62851,1,0,0,1,1
"梵谷水郡",2007,"朝阳公园",60785,1,1,0,1,1
"北京INN",2005,"朝阳门内",35023,1,0,1,0,0
"东四七条",2000,"朝阳门内",59673,1,1,1,1,1
"东四十一条",1993,"朝阳门内",60650,1,1,1,0,0
"东堂子胡同",1989,"朝阳门内",60966,1,0,0,1,0
"东总布胡同院",1997,"朝阳门内",62758,1,1,1,1,0
"方家胡同",1980,"朝阳门内",68323,1,1,0,0,1
"贡院九",1984,"朝阳门内",77662,1,1,0,1,1
"后拐棒胡同甲院",2011,"朝阳门内",89300,1,0,0,1,0
"金隆基大厦",1985,"朝阳门内",96989,1,1,1,0,1
"烧酒胡同院",2004,"朝阳门内",54948,1,1,1,0,1
"什锦花园胡同院",2004,"朝阳门内",55373,1,0,1,0,0
"十字坡东里",2008,"朝阳门内",60001,1,1,0,0,1
"外交部街院",2000,"朝阳门内",81354,1,1,1,0,1
"福禄巷",1998,"朝阳门内",34716,1,0,1,0,1
"交道口北三条",1995,"朝阳门内",73815,1,1,0,1,0
"禄米仓胡同",1984,"朝阳门内",104532,1,1,0,1,0
"煤渣胡同",1987,"朝阳门内",107022,0,1,1,0,1
"东四十条甲院",1999,"朝阳门内",129029,1,1,0,1,1
"东中街",1986,"朝阳门内",132048,1,1,1,1,1
"东总布胡同",1980,"朝阳门内",134198,0,0,0,0,1
"花园胡同院",1984,"朝阳门内",71003,1,1,0,1,0
"华普花园",2000,"朝阳门内",71195,1,1,1,1,1
"民安小区东羊管胡同",2002,"朝阳门内",126202,1,1,0,0,0
"仓夹道",1983,"朝阳门内",90067,1,1,0,1,0
"朝内大街院",1966,"朝阳门内",92380,0,0,1,1,0
"吉庆里小区",1998,"朝阳门内",62091,1,1,0,1,1
"骑河楼大街",2003,"朝阳门内",103097,1,1,0,1,1
"北竹杆胡同",1988,"朝阳门内",81104,1,0,0,1,1
"东四北大街楼",2012,"朝阳门内",93829,1,0,0,1,0
"东直门内大街",1993,"朝阳门内",95291,1,1,1,0,0
"华人一品阁",1979,"朝阳门内",46814,0,1,0,0,1
"南竹杆胡同",1994,"朝阳门内",87088,1,0,1,1,0
"北河沿大街",2009,"朝阳门内",58174,1,0,1,0,1
"东华门大街",1988,"朝阳门内",70383,1,1,0,0,1
"建国门北大街",1984,"朝阳门内",123801,1,0,1,0,0
"仓南胡同",2013,"朝阳门内",93871,1,1,1,1,0
"大羊宜宾胡同院",1999,"朝阳门内",105652,1,1,1,1,1
